#,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
481,2023072005003435,NIFRA,56,39,700,225.20,"157,640.00"
482,2023072005003434,NRIC,58,45,30,740.10,"22,203.00"
483,2023072005003433,NIFRA,56,51,10,225.20,"2,252.00"
484,2023072005003432,NIFRA,58,16,70,226.00,"15,820.00"
485,2023072005003431,LUK,47,53,"10,100",9.15,"92,415.00"
486,2023072005003430,LUK,22,53,"1,900",9.21,"17,499.00"
487,2023072005003429,HIDCL,35,32,53,184.10,"9,757.30"
488,2023072005003428,NRN,33,52,10,513.00,"5,130.00"
489,2023072005003427,HIDCL,32,21,10,184.80,"1,848.00"
490,2023072005003426,NIFRA,56,45,129,225.20,"29,050.80"
491,2023072005003425,STC,54,4,59,"5,489.00","323,851.00"
492,2023072005003424,STC,54,58,30,"5,489.00","164,670.00"
493,2023072005003423,STC,54,16,50,"5,480.00","274,000.00"
494,2023072005003422,STC,54,52,10,"5,479.00","54,790.00"
495,2023072005003421,STC,54,52,14,"5,450.00","76,300.00"
496,2023072005003420,STC,54,4,37,"5,448.00","201,576.00"
497,2023072005003419,CHDC,34,36,10,970.00,"9,700.00"
498,2023072005003418,NIFRA,56,32,54,225.20,"12,160.80"
499,2023072005003417,NRIC,58,25,20,740.10,"14,802.00"
500,2023072005003416,NIFRA,56,5,54,225.20,"12,160.80"
