#,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
223,2023072005003693,ENL,64,39,300,732.00,"219,600.00"
224,2023072005003692,ENL,64,25,90,728.00,"65,520.00"
225,2023072005003691,ENL,64,29,10,722.10,"7,221.00"
226,2023072005003690,ENL,64,25,10,722.00,"7,220.00"
227,2023072005003689,NTC,6,5,50,910.00,"45,500.00"
228,2023072005003688,NTC,6,6,115,910.00,"104,650.00"
229,2023072005003687,NTC,43,6,100,910.00,"91,000.00"
230,2023072005003686,NTC,34,6,10,910.00,"9,100.00"
231,2023072005003685,NTC,57,6,30,910.00,"27,300.00"
232,2023072005003684,NTC,34,6,15,910.00,"13,650.00"
233,2023072005003683,NTC,49,6,10,910.00,"9,100.00"
234,2023072005003682,NTC,28,6,20,910.40,"18,208.00"
235,2023072005003681,CIT,32,41,50,"2,118.10","105,905.00"
236,2023072005003680,CHDC,17,16,10,967.00,"9,670.00"
237,2023072005003679,HIDCL,32,21,10,184.80,"1,848.00"
238,2023072005003678,HIDCL,32,14,10,184.10,"1,841.00"
239,2023072005003677,HIDCL,34,36,18,184.00,"3,312.00"
240,2023072005003676,HIDCL,6,36,32,184.00,"5,888.00"
241,2023072005003675,NRN,14,58,220,510.00,"112,200.00"
242,2023072005003674,NRN,19,58,51,510.00,"26,010.00"
243,2023072005003673,CIT,11,41,10,"2,118.10","21,181.00"
244,2023072005003672,CHDC,17,58,10,967.00,"9,670.00"
245,2023072005003671,CIT,16,41,20,"2,118.10","42,362.00"
246,2023072005003670,CIT,57,41,10,"2,118.10","21,181.00"
247,2023072005003669,CIT,34,41,50,"2,118.20","105,910.00"
248,2023072005003668,CIT,38,41,150,"2,118.20","317,730.00"
249,2023072005003667,CIT,38,41,150,"2,118.30","317,745.00"
250,2023072005003666,CIT,11,41,50,"2,118.50","105,925.00"
251,2023072005003665,CIT,17,41,80,"2,118.60","169,488.00"
252,2023072005003664,NIFRA,47,48,355,224.10,"79,555.50"
253,2023072005003663,NIFRA,42,48,"1,500",224.10,"336,150.00"
254,2023072005003662,NIFRA,21,48,33,224.10,"7,395.30"
255,2023072005003661,NIFRA,29,48,500,224.20,"112,100.00"
256,2023072005003660,NIFRA,40,48,500,224.50,"112,250.00"
257,2023072005003659,NIFRA,50,48,30,224.50,"6,735.00"
258,2023072005003658,NIFRA,36,48,382,224.50,"85,759.00"
259,2023072005003657,NTC,32,44,45,910.00,"40,950.00"
260,2023072005003656,NTC,58,44,10,910.00,"9,100.00"
261,2023072005003655,NTC,41,44,50,910.00,"45,500.00"
262,2023072005003654,NTC,57,44,20,910.00,"18,200.00"
